E Numbers,Name of Additive,Description,Example Use
E627,Disodium guanylate,Occurs naturally in sardines and yeast extract but generally manufactured synthetically Used as a flavour enhancer,"Often added to crisps and other potato snacks, gravy granules and pre-cooked dried rice"
E628,Dipotassium guanylate,Flavour enhancer Potassium salt of guanylic acid,
E629,Calcium guanylate,Flavour enhancer Calcium salt of guanylic acid,
E630,Inosinic acid,Flavour enhancer,
E631,Disodium inosinate,Made from sardines and meat extract,Similar to E627
E632,Dipotassium inosinate,Flavour enhancer,
E633,Calcium inosinate,Flavour enhancer,
E634,Calcium 5'-ribonucleotides,Flavour enhancer,Mainly used in low sodium (low salt) products
E635,Sodium-5-ribonucleotide,Mixture of E627 and E631,"Added to crisps, potato snacks, and packet soups"
E640,Glycine and its sodium salt,Glycine is an amino acid Used as flavour enhancer and sweetener,Bread enhancer Also used in food supplements and protein drinks
E641,L-leucine,Flavouring agent Amino acid,
E650,Zinc acetate,Flavour enhancer,
E900,Dimethylpolysiloxane,Anti-foaming agent,Fats and oils
E901,"Beeswax, white and yellow",Glazing agent,
E902,Candelilla wax,"Glazing agent, occlusive",Chewing gums Surface finishing agent
E903,Carnauba wax,Glazing agent,"Confectionary, fruit, nuts, chocolate, chewing gum, baked goods, and coffee beans"
E904,Shellac,Glazing agent,"Fruit, candy coating"
E905,Microcrystalline wax,Glazing agent,"Fruit, candy, cheese, chewing gum"
E907,Hydrogenated poly-1-decene,,
E914,Oxidised polyethylene wax,Glazing / coating agent,Fruit
E920,L-cysteine,Amino acid,Bread enhancer
E927b,Carbamide,,
E938,Argon,Packaging gas,
E939,Helium,Packaging gas,
E941,Nitrogen,Packaging gas,
E942,Nitrous oxide,Aerosol spray propellant,
E943a,Butane,Aerosol spray propellant,
E943b,Iso-butane,Aerosol spray propellant,
E944,Propane,Aerosol spray propellant,
E948,Oxygen,Packaging gas,
E949,Hydrogen,Packaging gas,
E999,Quillaia extract,"Stabiliser, surfactant",Humectant in baked goods Soft drink foaming agent
E1200,Polydextrose,Naturally occurring sugar in grapes and corn,"Confectionery, cakes, biscuits, puddings, desserts, soft drinks, and convenience foods"
E1201,Polyvinylpyrrolidone (PVP),"Stabiliser, emulsifier, thickener",Food additive and used in wine production
E1202,Polyvinylpolypyrrolidone (PVPP),,"Clarifying agent for beer, wine, and vinegar"
E1203,Polyvinyl alcohol,"Thickener, glazing agent","Powdered desserts, confectionary, food supplements"
E1204,Pullulan,Thickener Natural polysaccharide,Edible decorating film in bakery products and confectionary Thickener in sauces and dressings
E1205,Basic methacrylate copolymer,Glazing/coating agent,
E1206,Neutral methacrylate copolymer,Glazing agent,
E1207,Anionic methacrylate copolymer,Glazing/coating agent,
E1208,Polyvinylpyrrolidone-vinyl acetate copolymer,,
E1209,Polyvinyl alcohol-polyethylene glycol-graft copolymer; PVA-PEG graft copolymer,"Glazing agent, stabiliser",
E1400-1414,Starches,"Generally of maize, corn, potato, wheat, or tapioca in origin Used to modify texture and stability","Sauces, chutneys, confectionery, desserts, meat, fish, dairy, and baked products"
E1404,Oxidised starch,,
E1410,Monostarch phosphate,"Anti-caking agent, thickener, stabiliser, emulsifier, glazing agent",
E1412,Distarch phosphate,Modified starch,"Fruit gels and cream fillings, baked goods"
E1413,Phosphated distarch phosphate,Stabiliser while freezing / thawing,"Soups, sauces, frozen pies etc."
E1414,Acetylated distarch phosphate,"Stabiliser, emulsifier",Oily foods
E1420,Acetylated starch,Modified starch,
E1422,Acetylated distarch adipate,Thickening agent,Sauces
E1440,Hydroxyl propyl starch,Modified starch,
E1442,Hydroxy propyl distarch phosphate,Modified starch,
E1450,Starch sodium octenyl succinate,Emulsifier Modified starch,
E1451,Acetylated oxidised starch,,
E1452,Starch aluminium Octenyl succinate,"Anti-caking, thickening, emulsifying, and glazing roles",
E1505,Triethyl citrate,"Stabiliser, antioxidant, glazing agent Ester of citric acid",Stabilises
E1517,Glyceryl diacetate; diacetin,Solvent for other additives,
E1518,Glyceryl triacetate; triacetin,"Humectant, flavouring agent",
E1520,"Propan-1,2-diol; propylene glycol","Synthetic carrier for extracts, flavours, and spices Functions as a stabiliser and humectant",Miscellaneous foods
E1521,Polyethylene glycol (PEG),"Colouring agent, emulsifier, flavouring, humectant",
,Arrowroot,Natural plant starch used as a thickening agent,In glazes and jellies
,Caffeine,Naturally occurring flavouring agent,Used in energy drinks Labelling rules apply
,Calciferol,[Vitamin D ](/topics/vitamin-d) Generally extracted from yeast,Used to fortify margarine
,Calcium bromate,Maturing agent and flour improver,Used in bread Banned in the EU
,Casein,"Naturally present milk protein used as an emulsifier, texturiser, and a dietary supplement",Miscellaneous foods
,Chlorine,Synthetically prepared bleaching agent,"White flour, white bread, cakes, and puddings"
,Chlorine dioxide,"- Synthetically prepared additive, similar to chlorine Also used as a water purifier and oxidising agent",Similar to chlorine
,Corn syrup,- Glucose obtained from corn or maize starch Used as a sweetener,Miscellaneous foods
,Extenders,"Frequently a soya bean product, used to make meat go further",Meat products
,Fructose,"- Naturally occuring sugar, present in fruit and honey Acts as a sweetener",Miscellaneous foods
,Gelatine,- Protein extract from animal bones and tissue Used as a stabiliser and gelling agent,"Jellies, glazes, certain dessert products"
,Hydrolysed vegetable protein (HVP),- Produced chemically from raw protein Flavour enhancer,"Soups, gravy, and meat products"
,Invert sugar,- Syrup of 50% glucose and 50% fructose Humectant and sweetener,Confectionary and sweet products
,[Iodine](/topics/iodine),Found in seafood,Added to salt
,Lactose,- Sugar present naturally in milk Used as a humectant and sweetener,Infant formula
,Niacin / nicotinic acid,- Naturally occurring B group vitamin Added to fortify food,Breakfast cereals
,Potassium bromate,"- Oxidising agent, improver, and bleaching agent Manufactured synthetically",Added to flour No longer approved in EU
,Sodium chloride / salt,- Naturally occurring mineral Acts as preservative and flavour enhancer,Miscellaneous foods
,Sucrose,- From cane or beet sugar Preservative and sweetener,"Available as molasses, granulated caster, icing, and demerara sugar"
,Thiamine,- Naturally occurring Vitamin B1 - Generally manufactured synthetically Added to fortify food,Breakfast cereals
,Vanillin,Naturally occurring flavouring Generally manufactured synthetically,Baked products
